name,description,type
the Ultimate Pretoria Bucket List,Tourist attraction in Tshwane - the Ultimate Pretoria Bucket List,attraction
the Woodpecker Inn Guesthouse,Tourist attraction in Tshwane - the Woodpecker Inn Guesthouse,accommodation
Thorn Tree Bush Camp,Tourist attraction in Tshwane - Thorn Tree Bush Camp,accommodation
Tin Roof Cafe,Tourist attraction in Tshwane - Tin Roof Cafe,restaurant
Toulas Greek Restaurant,Tourist attraction in Tshwane - Toulas Greek Restaurant,restaurant
Travel2Africa,Tourist attraction in Tshwane - Travel2Africa,service
Tshikwalo Game Lodge,Tourist attraction in Tshwane - Tshikwalo Game Lodge,accommodation
Turn n Tender Menlyn Maine,Tourist attraction in Tshwane - Turn n Tender Menlyn Maine,restaurant
Tussen I Bome Guest Farm,Tourist attraction in Tshwane - Tussen I Bome Guest Farm,accommodation
Ulysses Tours Safaris,Tourist attraction in Tshwane - Ulysses Tours Safaris,service
Villa San Giovanni,Tourist attraction in Tshwane - Villa San Giovanni,restaurant
Villa San Giovanni Hotel,Tourist attraction in Tshwane - Villa San Giovanni Hotel,accommodation
Wing Wah Sushi,Tourist attraction in Tshwane - Wing Wah Sushi,restaurant
Zilko Tours Travel,Tourist attraction in Tshwane - Zilko Tours Travel,service
